Obscure_encounters,Wilderness_hooks,General Story Hooks,City_plots,Npc_Traits,Encounters_b,Dungeon_dangers,Overhead_phrases,inn_encounters
A dryad clad in wooden armor leans against a tree his side torn wide open. He hands the party a pouch full of tiny leaves. Taking a pinch and blowing them into the air will lead the party to an ancient temple entrance almost over grown with vines. When close the pouch of leaves crumbles to dust along with the vines covering then entrance of the temple.,"The player characters are approached by a wealthy noble who asks them to track down his missing son, who was last seen in a nearby dangerous forest. As they delve deeper into the investigation, they discover that the noble's son may have been involved in a dark cult that sacrifices children to a powerful demon. The players must decide whether to turn the son over to the authorities, or to try to save him from his own evil actions.",Try to beat the Fairy Godfather at a casino game to win a magic item.,"A royal child is about to be born in 1d20+5 days, and rumor has it the child is not the king’s...","They have a feline attitude. Sure as a predator on the prowl, they always seem ready to pounce.","A drow elite warrior calls to the group from the shadows in the trees off the side of the road. ""adventurers?"" he asks. ... He asks the party to either kill or imprison someone for him. This person has killed many others, even boasting about it at times, and surely deserves this. The drow can't do this himself, stating ""personal reasons,"" his eyes glistening with the ghosts of his past. He offers the","An impaled body is stuck on a spear embedded in the floor. It's still dripping blood into a small, fresh puddle, and the body is still warm to the touch.","""No, no! It's true! At least that's what I was told... Drink a troll's blood at midnight and you'll get younger right on the spot!""",Another patron repays a character an old debt of 5 gold. [/u/ButtonholePhotophile]
"You find a small silver coin in the middle of a street and upon picking it up, in your mind you see a small hut deep in the forest. When you come back to reality, only you can see it but a small fae pixie glowing bright blue will show you the way.","The players are hired by an upper class Epicurean's Club to find and kill a specific beholder for them to eat. Meanwhile, a second group claims that this is immoral, since beholders are sentient beings, and to instead bring the beholder to justice by capturing it alive or killing it. However, when the party finds the beholder, they discover that it, while not willing to be killed or captured, much prefers being eaten to letting itself go to waste.",A woman's flock of prize chickens were spooked away by last night's storm. They look to be a different breed than most other chickens in the area. Help her round them up safe and sound and she'll give you a warm meal and a small reward.,"A ship arrives into port, but no one is on the ship...","They have sharp and precise movements, they don't have any useless gestures. But it can look uncanny.","Someone sells goods in a town. From a large wagon, not a store. He travels, as he collects and sells. ""I've an adventurers heart, I can't settle in one place."" He sells a +1 weapon to a character or two. Turns out, they are NOT +1 weapons, maybe even breaking the first time they are used/hit very hard. He alters the appearance/value of items he sells, fooling as many as he can before getting out of t","A babies' cot is filled with blood. If anyone puts their hand in, they are sucked in by a force under the surface, that lets go the moment it feels air. If anyone puts their hand in a second time, that force is nowhere to be seen.","""I swear to the gods that boy's got some ogre in him. I saw him eat fifty eggs in an hour.""",The fire in the fireplace is where the mysterious singing is coming from - it’s an elemental! [/u/ButtonholePhotophile]
"The party encounters a man running out from the wood-line, coming towards then. He appears to be in shock over what he has seen, and tells the party that he was attacked while hunting. The man directs the party to the spot were he encounter the creature.","Evil cult is trying to bring their deity back so it can do its evil thing. An order of knights is working to eliminate this cult and the threat it poses. A third party hires some individuals to stop the order from eliminating the cult, claiming that the being which trapped the cultists god managed to power the cage with worship, if enough (thoroughly evil) cultists die then the god will break free and wreak havoc.","A young boy asks for help to find his runaway family dog. He gives you a shabby old blanket covered in fur and tells you it was her favorite. Under the smudges of mud and dead leaves, you notice finely embroidered clothes that suggest that he comes from a wealthy family.",The firstborn children of each of the town’s councilmembers shows up dead in front of the temple in 1d6+3 days. The arraignment of the bodies appears to be a failed attempt at some kind of ritual.,"They always look frightened or on guard, ready to bounce at any time. They are always surveying their surroundings","A small stocky fellow with snow boots and a fur coat looks distraught. Turns out there is an Abominable Yeti near his little settlement up in the mountains. (Or different clothes/creature if near a different terrain) He offers a reward, a small bag of several bits of food, for defeating the monster. (the food appears mundane, but the stocky man swears it's special. Detect magic etc.. each small piece",Dust falls from the ceiling every few seconds.,"""...and get this. He says he can't see me again because he's actually a polymorphed dragon and he had to go back to his lair.""",The overnight rooms are actually tents out back.[/u/ButtonholePhotophile]
"A local temple has reported strange events in the surrounding area: beasts attacking villagers, bandit lords more closer to the village, and mysterious lights and sounds that can only be observed from within the village.","The party is hired to drive off a group of ""terrorists"" using magic to awaken trees and grow plants to attack a nearby city. However, the ""terrorists"" are actually druids that seek to regrow the forest where the mayor's men burned it to the ground to expand their city. The druids do not see their acts as terrorism but as an attempt to protect nature from the ones that want it destroyed and replaced with civilization.",A performer who was supposed to make an appearance at the tavern the party is staying at hasn't shown up yet. Either find them or stall for time so the crowd doesn't get bored!,"The town’s water supply is draining slowly, and no one knows why. In 1d6+2 days, humongous roots sprout from the ground and twist through the buildings, causing havoc and massive infrastructure damage. In reality, this was caused by a local Secret Society, and only they can undo what they have unleashed.","They look not all there, like their attention is focused on the immaterial. But sometimes they seem to know things that others don't.","A horse drawn cart plodding slowly towards town, but no driver. Closer inspection reveals claw marks on the wood and a splatter of blood. The horse is in a daze. The cart is filled with turnips. u/PhilistineAu","A series of mosaics shows the party in the rooms prior, all solving any issues they had. Someone has been watching them.","""...and for a small fee of 10 gold you can start your own potion selling business and be rich just like me!""","The only furniture in the room is a giant blanket, but it is beyond ridiculously huge. Everyone who sleeps here gets a +1d4 to their choice of rolls in the next 24 hours.[/u/ButtonholePhotophile]"
"A bounty hunter asks the party if they known any of the names on a list of his. The list contains about 20 names, roll a d20 for the characters knowing any of the names, 1-10 unknown and 11-20 known. The names on the list can be from characters backstory or names of NPCs the party has met throughout the campaign. The bounty hunter will known what each person on the list as done, and how much the reward is for the capture.","The party is hired by a foreign government or entities within the current government to infiltrate a peaceful protest and surreptitiously turn the protest violent. This will either give the government the justification it needs to send in soldiers to suppress the locals, or it will propel the protest into a revolution to overthrow a corrupt regime.",A house party in the city has been getting lots of noise complaints. Break it up and send the drunk guests home.,A druid wanders into the city every few days with his companion. He is convinced that someone is opening a portal to the abyss and bringing death to his nearby grove... but it's only being affected by actual pollution from the city itself.,"They not only eat their nails, but they do it to the blood, and have a habit of self harming themselves.",Three goblins arguing over who is taller. They will run into the nearby forest as soon as they spot the PCs.,"A door on the opposite side of the wall is completely mangled, having been thrown off it's hinges and crushed under some large creature's bite force.","""I just don't trust those magic-using types. I heard they can stick their magic into your head and make you do whatever they want!""",The toilet is jammed/the latrine is filled. [/u/ButtonholePhotophile]
A seemingly exorbitant amount of gold is offered on the message board to get rid of a ‘house spider’. It turns out that it’s about a spider-like mimic in the shape of a house.,"The party is asked to investigate why anyone who enters the woods returns with no memories. A Fey creature who encounters them prevents their death from a terrifying creature, but wipes their memory so they cannot tell others about its home.",A little girl's direcat got stuck in a tree.,An arsonist is in town. The town guard is investigating but so far haven't let on that they have any leads. Every [1d6+2] days a new fire is started. (Amp this up by having the fires be places the PCs have visited...),"They are dirty, covered in filth from work or the outdoors. There is so much, and so often that they don't bother to clean anymore.",friendly merchant has lost some textbooks that he was planning on donating to an orphanage. He rewards the party for returning them. u/Moostcho,"A large pit in the middle of the room is covered with a spider's web.The party is free to walk on it problem-free, but if they attempt to break the webbing or set fire to it, it is destroyed and a large army of baby spiders all crawl out and surround the parties' feet. (Warning: Do NOT use this if anyone in the party suffers arachnophobia. If they do, then say it's a rug covering the pit, and if it's removed in any way, then an army of angry weasels bursts forth.)","""If he comes back this way I'll stick a spear right in his gut. I ain't got no qualms about it neither.""","They forgot to clean up the last body, revealing their scheme to rob/murder the party. [/u/ButtonholePhotophile]"
"The moon stops traveling across the sky, and everyone’s time pieces stop working. Word around the continent is a group of warlocks are attempting to gain power from a new patron – the god of Time","A new city is going to be built on the sight of an old mill town that’s been abandoned for decades. Unfortunatly, the old inhabitants died off for a reason, and they are willing to rise from the grave to protect that terrifying secret.",A wizard's familiar is going on strike. Apparently it doesn't like dying so much.,"The city's graveyard have a hidden cryptid, and if not found, an occultist group of merchants will make a citizen disappear every [1d4] days. After [1d10+10] people are missing, a bigger event happens. [1. Zombie outbreak 2. Ancient evil back to life 3. Random wild magic surges happens 4. Various people lose memory of the recent missing ones]","They are against the system and they are showing it. Be it by wearing clothing, ostentatiously or subtly, against the system in place. They are the punk, or the silent objector.","A diseased man staggers towards the party, coughing and spluttering. He unintentionally infects some of the party members and begs to be cured. If cured, he presents the party with a large reward.","There is a puppet on strings on a seat, dancing in place. The strings end about an arm's length above the puppet.","""If it weren't for my horse I never would've gotten into college.""","A young dwarf knocks on the door, trying to find the dealer of something illegal.[/u/photonfiend]"
More than three people in a given town have all their teeth fall out at the same time,"An evil magic user is capturing people and draining them of their life energy. It turns out that, in an attempt to gain more power the mage summoned a powerful entity. The mage quickly realized that they were unable to control this entity, so they trapped it in a magical prison. The prison requires life energy to maintain it. Stop the mage and potentially release something far worse or allow the mage to keep stealing people's life energy.",Find a very small lost item.,"The wishing ponds in the city overflow slightly every day, and in [1d4+2] days the coins that were there rain down in the city (causing some injuries and some lucky people getting some money).","They are followed by a strong smell that is giving away their work, maybe it's oil from a workshop, smell of a meal for a cook, etc...",A lightning bolt comes out of nowhere to strike the ground directly in front of the party.,A skull is hanging from the ceiling. It's swinging as if it were just dropped there.,""".....those aren't children.""","News comes of a nearby fire. It's dangerous, but not threatening this building yet.[/u/photonfiend]"
"A nearby civil war is raging, and one of the high ranking officers of one side or the other holes up in a cave. If approached, they will act incredibly defensive. A child is crying somewhere deeper in the cave, and this person refuses to answer any questions about said child.","A hunting guild is struggling to produce any food and the town they serve is beginning to starve. To top things off, two of the hunters returned recently, very badly injured. The party is asked to investigate the hunting grounds and try to figure out what has happened to the animals. The party eventually discover that the hunting grounds have recently come under the protection of a druid, who's animal friend had been injured by one of the hunters months prior.",Be bodyguards for someone who just wants them for the prestige. They are incredibly irritating but under no threat of violence.,"The town guard are busy putting around posters of a missing kid. If the PCs look into it [2d4] days, the child can be found alive, buried in the graveyard. Otherwise, the child is later found dead in the grave by the city guard with scratch marks on the inside of the coffin. In either case, suspicions arise over who deliberately buried this child, and why...","They are overly familiar with everyone, even with strangers. They don't have any clues about the idea of personal space.","The party comes across a fast running stream. Wooden debris and a fallen tree can be seen in the bank. A DC 12 wisdom (insight) check reveals that a recent heavy rainstorm caused the river to swell up and wash away the bridge. A character can swim across it with a successful dc 17 athletics check. If they fail, they must succeed on a dc 16 strength saving throw or be called get on the current. u/anb1","Cracked glass lines one side of the room, from a broken cupboard.","""Let me guess... someone stole your sweet roll.""","The furniture is dirty, stained, much more than other rooms. That explains the discount...[/u/photonfiend]"
An allegedly crooked officer of the law is found dead in an alley way and only one person in the whole town seems to care about it at all.,"A baker is sentenced to death for selling poisoned goods. The man has proof he is innocent. Unfortunately, the real poisoner is a very powerful man, and especially hard to get to. If the baker is killed, his guard will be down, giving the authorities their only chance to apprehend their cities most notorious criminal. Should an innocent die to stop a serial killer?",Retrieve a blink dog or semi intangible animal.,"All the cats in town start to use the market as litter box. After [1d20] days, an epidemic of a strange disease starts that makes merchants get sick enough that they begin closing down the economy. After the disease spreads, the PCs will find no shops open.","They have a peculiar laugh, maybe they bark or snort, in any case they are instantly recognizable with it alone","A person playing bagpipes. Nothing more nothing less but surely your players will be mega suspicious and maybe even hostile, see where it goes u/MuttonChopViking","The party does not enter the room. They exit on the other side as if they walked through it, and just didn't experience walking through the room at all. (Think King Crimson if you know Jojo's Bizarre Adventure)","""What do you call a group of owlbears, a sleuth or a parliament?""",See a few shooting stars outside the window.[/u/photonfiend]
The party is on a faire where a magician is performing tricks with a severed head that can talk. Throughout the show the head blinks in weird patterns. The party talks to the head to find out he is kidnapped and begs for help in finding his body back.,"A family seeks to find their missing child who is missing from their home, upon further discovery the child ran away from the home due to negligence on part of the parents. The child claims abuse or lack of provision.",Write a diplomatic letter for an inept ruler to prevent disaster.,"The Princess is facing an arranged marriage to a nearby kingdom's Prince, but it has been rumored she's been in a relationship with a local bard commoner for some time & some folks at Court & in the street are speculating that they plan to run away before the wedding, which is to happen in 1 week. That is EXACTLY what they plan to do. They want help getting out of town unseen, while the King would handsomely reward someone who stopped this plot.","They have a highly visible OCD, they are constantly doing a particular gesture over and over.","The party notices several statues in the path around a traveling wagon. As they approach closer they notice some of the statues are in poses with expressions of fear. A basilisk, cockatrice or any other appropriate monster to the parties level is feasting on one of the victims in the bushes just off the path. Since it is preoccupied and full, the party can easily pass it unmolested unless they decide","A statue in the corner of the room is holding a drum. When the party isn't looking, they hear the sound of a drum beat. The statue did not hit the drum.","""So help me Pelor, if Max makes one more 'I barely know her' joke, I'm gonna shove him face-first into the dirtiest latrine in the Hag and Hog!""","The previous occupant - a halfling woman - knocks on your door in the middle of the night. If you don't wake up, they enter and look for something they left behind.[/u/SpringPfeiffer]"
The party comes across an Inn in the middle of nowhere and they decide to stay. They wake up on the ground where the inn used to be and there’s no sign of any building ever being there.,The party must seek out a famed healer to treat the heir to the land/fortune/guild. The healer travels with a group of servants with oddly shaped lesions hidden beneath their robes. In order for the healer to cure the heir they must use a magic orb that painfully transfers the disease to their servants leaving fresh lesions in the same shape as those floating in the orb as the disease is transferred.,Help out local farmers before the first frost rolls in.,"A local cult is sacrificing beggars in fiendish rituals down in the sewers at night, then by day is serving the flesh to the populace via a tavern they own. As the days go on, more and more people can be seen glassy-eyed and dreamy, with fresh tattoos depicting the cult's symbol. In 2d20 days, the cult's new army will make an attempt on the King's life.","They have the habit of smoking a very strong cigar or lightning up a censer, the smell and fumes are extremely strong","A heavily armed adventurer is laying in a pool of their own blood and will bleed to death if they are not aided, they are so far gone they will only mumble that ""I can't... die like this..."". If the party manages to heal them. they will thank the party will tell the party that they were climbing a nearby tree when they fell and were impaled straight through on its branches, the wound was so bad their","A campfire in the middle of the room extinguishes if the party gets too close, like a candle that was just blown out.","""The ale at the pub is too foamy because they don't pour it right! My mam always said, ""Don't be an ass, tilt the glass!""",There's a random potion under the bed.[/u/SpringPfeiffer]
"Walking through town, the party suddenly gets surrounded by the city guard. A respected captain was murdered. Witnesses say they saw someone looking similar to one of the party members. Upon looking through their things, said member appears to have lost an item easily traced back to him (one half of a pair of gloves/earrings/daggers, family insignia, one of a kind necklace etc.). Sure enough, said item was found at the scene of the crime. Someone is framing them. Not necessarily a doppelganger.","The Sage of Windmere hoards countless books, some of them one-of-a-kind, refusing to let others copy or even see them. The Monks of Yewlane consider this an intolerable restriction on knowledge that mere property rights cannot justify; they want you to sneak books away from him, then return them once copies are made.",Babysit a powerfully magical infant.,"In 2d6 days, there will be a extravagant parade through the city. Everyone in the city seems bristling with anticipation!","They try to sound smart when talking, the key word is ""try"". They end up misusing words and using overly long words for no good reason.",A frantic traveler runs to the party after he pauses and catches his breath he explains his friend was picked up and carried off by several harpies and points the party in the right direction. the party doesn't have to travel far as the harpies didn't make it back to their roost before they began to argue leaving their captive stranded on the roof of an abandoned barn as they argue atop some nearby t,"The party hears the faint sound of a commentator, narrating their actions to a crowd they cannot see or hear.",“...was a good friend of mine. Never understood a word he said but I helped him drink his wine..”,A book of erotica is wedged under the mattress.[/u/SpringPfeiffer]
"The party stumbles across a dead old man. Amongst his meagre belongings is a thick tome with extensive records about everything they’ve done right up till today, with even more detail than they themselves knew.",A Lord sends the party to investigate the lack of supplies coming from a usually thriving village in the woods. The Village is falling apart because the fruit and vegetables that they gather from the forests are rotten and shriveled. The reason for this is because the section of the forest is controlled by a group of overly charitable dryads that give their lives to supply the food and now the forest is dying with the last dryad.,Rescue a cat from a giant magical tree (its near the top),"A dust storm is coming tomorrow that will last 1d4+1 days. It reduces visibility in the streets to 20 feet, and forces all the vendors outside to shut down.","They cannot shut up, they always have a good story or an anecdote to tell, and they make sure that everyone is able to hear it.","A siren calls out to the party as she has questions on ""Civil folk"". She loves a man in a fishing village just up the road on the parties route. She wants to ""be with him forever"" and is asking on what a man from civilization can't be without for when she whisks him away. Its very clear the fisherman does not even know of her existence as she has never approached him before. If the party meets the ma","There are several other doors in this room, but the deafening sound of chains grinding together is heard as one door opens.","""... and they didn't know what to feed the damn thing, so they figured to just feed it nails and call it a day. By the way, you wouldn't happen to know someone in need of a dead ostrich, would you?""",A ransom letter is under the pillow. The meeting is tonight in one hour on the other side of town. [/u/SpringPfeiffer]
"The party finds various dead animals with missing pieces, almost torn and shred. As they approach the heart of the forest the number of dead creatures increases. Upon investigation they find out it’s the guardian spirit of the forest who has been corrupted and it’s confused.","Goblins have been attacking a newly constructed dam above a village, and the party is hired to stop them. The goblins claim that the dam has caused their underground homes to flood, and the party must decide whether to prioritize the safety of the village or the homes of the goblins.",Find and bring back a child lost in a maze (the maze changes and uses illusions),"It becomes unseasonably cold tomorrow, and each day it just keeps. Getting. Colder. The wizard's tower is the first place to freeze solid with ice that seems to be emanating outward from it, and no-one has seen the wizard since the cold snap began...",They wear an odd accessory that is strikingly different from the rest of the outfit. It is something that they value enormously.,"Fey creatures are having a party with drinks and food and welcome any travelers to join in the revelry! After the party joins the fey welcome them to drinking contests and games of skill and promise that every win earns them some gold. However if they loose they have to give the fey something or suffer a curse, (up to the GM on what that is and how sinister the fey are, they might not mention the pun",A boat has crashed into one of the walls.,“.... and that is why you don’t eat the blue ones. “,A complimentary bowl of fruit is delivered. The note is addressed to someone else. [/u/SpringPfeiffer]
A flyer appears in the sacks of each party member. A mid level demon has opened a store and invites all those with ambitions to visit to make deals.,"An entire mountain village are advertising a magical wellspring that can grant any who bathe in it the power of a dragon! The opportunity (although incredibly expensive) is too good not to investigate. What they’re NOT telling everyone is that this ‘Magical Wellspring’ is actually the crystal blue blood of a dragon that is beyond ancient and the last of its kind. They have it chained up inside the mountain it used to call its home and have bled it to the point that it’s almost dead. What will the party do? Fight these dragon infused people? Or let an innocent, good hearted creature suffer?","Fill in for some performers who are unavailable (sick, hurt, left). Could be a play, stunts, music, etc. (lots of role playing, write an outline of challenges they'll encounter during it)","A royal baby was born just before the PCs arrived, and the town is decorated with millions of beautiful flowers. The public is antsy for news of the new arrival and hopes to see the little one soon.","They are in a perpetual state of drunkenness, with or without substance, they seem like they are living in a constant party.",A lone barbarian armed with a greatbow stands atop an abandoned watchtower near a narrow pass that the party will have to go through if they don't want to waste time. He shouts down at them they must pay his toll or die. Why does he think he can enforce a toll against a party of armed and powerful adventurers? Cause he has two tamed Wyverns.,"Dead snakes dangle from the ceiling. (If your party has a phobia of snakes, then it's rats)","""...No, it's not that bad""",A beggar outside on the street keeps using Thamaturgy to open your window (there's no lock to keep to window shut) until you toss them a coin [/u/SpringPfeiffer]
"A rumor reaches the party’s ears of a group of brigands hiding out in the woods. They have a code that is the reverse of Robin Hood and his Merry Men: Steal from the poor, and give to the rich. None of the local nobles seem interested in the pillaged goods of their subjects, and are constantly giving back the loot they keep finding on their doorsteps.","An important diplomat or authority seeks the PCs to help him fake his death. Desperate to retire and be rid of the pressures of his position, he simply wants to live a “normal” life from now on. Unfortunately the kingdom is having a big peace meeting with a rival nation, that will likely go wayward without them. If he attended the meeting however, his work would be required to maintain peace with the other nation for years to come.",Help someone find a loophole in a contact with a demon / fey,"Tonight as the PCs sleep, the city guard will begin rounding up all [Background]s for interrogation. (Acolytes, sages, outlanders, soldiers, etc). They received intelligence that the local secret society has been using [Background]s to further their goals, and the King is ready to take drastic measures to ensure their plans fail.","They are unsure about themselves and their decisions, always looking for the council of others","As the sun is beginning to set a ghost appears on the road, and points off into the forest. If the party follow the ghost it leads them deep into the forest to its long dead body wishing to have its remains put to rest. If the party takes anything from the body the ghost will attack.",,“...and I haven’t swum since.”,The closet is a secret entrance to a night market. There is no lock on the door. A few people will walk into the room and disappear into the closet without acknowledging the PCs. [/u/SpringPfeiffer]
"The local apothecary is desperate due to the sudden absence of all the local medicinal plants in the area. All the groves and clearings appear to have been picked clean, and even the owner’s secret garden is now empty. She had told no one of her hidden garden, and so has no idea who or what could have taken all of the plants in the brief period of time between her most recent check and her previous one.",A collection of prophecies written by a sage have mostly come true the last few years. The last one which has yet to pass indicates that a child born with a certain birthmark will cause great calamity if they grow up in this country. A child with this mark is born. Do the players uproot an entire family who may not be able to afford or survive in a new land (potential issue of no other country wants to take them) or do they convince the people to stay and run the risk of the prophecy coming true?,"Gather rare ingredients for a particular perfume, poison, or potion for an alchemist.","Rats are getting out of hand- they are EVERYWHERE. The people can hardly sleep with all the movement and scratching, and beggars in the streets are starting to look diseased. In 1d10 days, a druid shows up claiming to be able to rid the city of rats, but his true intentions are much more sinister.","They are fanatically sure about themselves, but in a way that is almost frightening, they have an unshakable faith on doing what they are doing.",The party hears a lot of hounds barking before they round the next turn in the road. On making the turn they see an isolated farm with an elderly couple sitting on a bench on the side of the road surrounded by several large dogs. On a word from the woman the dogs go silent and sit patiently. She is selling her hounds for 200gp each. They are very well trained beasts with stats far above those of othe,,“...he’s in my face yelling about flamingos...”,"You walk in on a dwarf tied up to the bed posts, when questioned he is evasive and unclear as to why he was tied up. [/u/_solounwnmas]"
"A human peasant and a member of the fey came across each other in the woods and, over the course of multiple moonlit encounters, fell deeply in love. The peasant’s family has a deep-rooted fear of the fey, and is actively trying to put a stop to the pair’s relationship. The family is even more fearful that the peasant will leave for the Feywild and never return, and goes to the party to convince them to help break the two lovers up. The human is in love with the Fey’s otherworldly allure and sharp wit; talking to them makes the peasant feel alive in a way that they’ve never felt before. The Fey was originally only interested in the concept of a secretive human lover, but eventually came to love the peasant’s dedication to their relationship despite the risk of alienating other loved ones.","A town seeks your help in slaying a monster that has been reported to kill a certain number of theirs. When confronting the monster, it admits to killing the town folk, but as a result of an attack on their home at night. The monster was acting in self-defense and would prefer to be left alone. The town is wanting to use the monster's sanctuary as development for expansion and business and have been trying to scare or kill it away for months now. The town is outgrowing its current infrastructure and have been unable to get the monster to agree to leave. The town leaders believe they had no other choice.",Help the local blacksmith with their next armor piece.,Another rich nobleman has turned up dead today and his young wife is inheriting all of his wealth. The odd thing is this is the third time she’s been widowed and always to wealthy men in the city. Her latest husband’s son is seeking to hire someone to search for evidence of foul play on her part.,"They are always in control, with a cold and calculating gaze as heavy as iron, it seems that everything is part of the plan.","As the party sets up camp a ghost riding a phantom horse and armed with a whip approaches the camp its voice on the wind says ""GO!... we can not stop... it is not safe."" If the party is knowledgeable enough they will recognise that the ghost is an ancient military officer. As long as the party continues on the road even if they are going slow the ghost will follow behind appeased, if someone stops it",,“...weeks to get the smell of corpse out.”,An individual of the PC's preferred gender and race cuddles up to them in the middle of the night. If they are allowed to sleep there you feel like you had a great night's sleep but gain a level of exhaustion and can't find your money (it was a succubus/incubus). [/u/_solounwnmas]
"While at the market waiting for another adventurer to arrive, you pass the time by idly counting the number of stone gargoyles mounted on the town hall. There are fourteen, all with a silly grin.",The party receives a request to stop a necromancer who is robbing graves to create undead. They soon learn that the necromancer is using the undead to run a large farm that supports several surrounding villages..,"Baby sit a bunch of old time adventures with dementia. Their class abilities are still intact, they're just senile.","A famous healer is coming to town and the whole community is obsessed with him because of everyone he’s helped. He is only in it for the money, but nobody can convince the public of that- they absolutely love the guy.","They are sadistic and vicious, they absolutely love seeing violent acts.","The party spots a baby moose (elephant, bear, hippo whatever suits the environment) on the road only for a split second later Angry Moma comes blitzing into them from the flank.",,"“So, imagine a 50 ft tall mushroom...”",Guests in the room next door are having a noisy argument in the middle of the night. [/u/gnurdette]
"While at the blacksmith to repair your armour, you overhear the blacksmith explaining to his apprentice to not stray off to the hills to see his new sweetheart because he heard from the baker’s cousin’s stepmother that there are kobolds about.","The party is hired to find a criminal that has been terrorizing the town. The party is monitored loosely and is expected to give updates on their progress to ensure that the town is getting their money's worth. The party tracks the individual but finds that the individual is actually two souls in one body, and transforms to reflect so. The innocent soul in the body has no recollection of what the other half is doing, and is completely harmless. If the party does nothing, the guilty soul will continue to terrorize the town.",Someone seeks help in solving a magical puzzle box they inherited from a family member.,"[1d6] days ago a meteorite hit just outside the city walls, and people have been trying hard to get valuable pieces of the meteorite to sell off but the biggest piece of all was mysteriously taken. Everyone in town is on the lookout for it, even the city guardsmen.","They are taking a lot of space, they talk too loud, move in your face too much and can't seem to realize it. Protest all you like, they will apologize and continue investing loudly the space. (by Leif-Colbry)","8 battered and bleeding kobolds, 6 are carrying a long pole with a dead boar tied to it. 2 are carrying an unconscious kobold who is gravely wounded. u/SteelCutter",,“...the guy was holding it upside down!”,A traveling bard is singing for her supper in the common room. She's amazingly good.[/u/gnurdette]
"While waiting patiently for your turn to see the Bishop, you get your ear bent by some local shopkeeper about how the town council is a bunch of idiots, and how they simply wasted all that money on getting 13 gargoyle statues erected on the town hall. Thirteen! That’s an unlucky number!",A pirate captain has stolen a great treasure from the King. Gain the pirate's trust by aiding them in their piracy to find out where he's hidden the treasure.,"Plant some false information, either by rumour, or in letter form. Make sure the correct people learn this information. Bonuses for making them believe it comes from an enemy of theirs, not the player, and is supposed to be secret.","The Prince is NOT the son of the King. This will come to light in [1d4] days, at which time the King will call for the public execution of the beloved Queen. The public will be devastated if she is actually killed.","Walking in with bold confidence to dare against all odds, they live as they know that everything will go their way, because they knwo that they are that good. (by Leif-Colbry)","The party stumbles onto a group of weak humanoid creatures (goblins, kobolds) that have ransacked a covered wagon. Empty bottles are strewn about the road, and the creatures are double in size (essentially they chugged a bunch of potions that cast Enlarge on them -- adjust the power of the creatures as needed). u/fudsaf",,"""And that's how I learned that flammable and inflammable mean the same thing... and it's also why I can't grow eyebrows.""",A horse runs off while the stableboy is trying to get him put away. There's a lot of angry yelling.[/u/gnurdette]
"A street urchin attempts to filch your purse, he runs off down an alley. The urchin escapes, but in the alley you found a homeless halfling bum. Clearly dead. Looks like he fell from a great height.","Ever since the local kingdom's royal family was executed some 10 years ago, the area has existed in peace and harmony as a result of the Accord of the Three, a treaty amongst the three dukedoms, now minor kingdoms, to work together as a confederacy. The area economy has benefited incredibly for the people of these small kingdoms as a result. All the while, uncorroborated rumors abounded about a single male heir, a baby with curly red hair, dark complexion, and vivid green eyes, that escaped with the royal nursemaid on the day of his birth, the day of his family's death, persists. A small but strong rebellion loyal to the old royals has never been far below the surface. You are called to an audience with representatives of the three kings. A 10yr old boy matching the description of the potentially lost royal has been sighted 100 miles north by northwest in a small town. Find him. Kill him discretely before his existence becomes common knowledge. Upon your success, you will be rewarded handsomely, and, if you fail, the three kingdoms will devolve into bloody war.","Help a local chef win a cook off by gathering his necessary exotic ingredients (marketplace, dark market, going and getting them yourself from the wilderness)","It's the day of the Inventor's Faire, which goes on for [2d4] days. Artificers will come from near and far to show off, win awards, and make some sales. Mishaps and explosions are discouraged, but expected by the public.","They seem always in a hurry, scuffling nervously around, dropping things there and there, they don't seem able to stay still for more than a few second. (by Leif-Colbry)",A fish falls from the sky. (In reality a predatory bird caught it and dropped it while overhead.) u/Greezlestack,,"""You know, there are eyes on the moon""","It's raining, and the roof leaks. [/u/gnurdette]"
The price of that foreign wine you like so much has tripled in price. The barkeep mutters something about pirates. The barkeep explains it’s just a euphemism for the wagoneers guild and their extortionate ways.,A group of villagers hires the party to investigate a series of strange occurrences in a nearby forest. The villagers believe that the forest is cursed and that they are being punished by the spirits of the forest. The party discovers that the forest is actually being damaged by a group of loggers who are clear-cutting the trees and polluting the water. The loggers claim that they are providing jobs and resources for a neighboring community.,Go with a dragon studies professor to study a dragon's habits.,It's the City-wide Bake off! Rival bakers come to test their baking skills. Cookies and sweets are abound.,"Calling them social would be a wide understatement. They can tell with a glance who would like to talk, what about, and exactly how long. Like a butterfly, they are flying from conversation to conversation without respite. (by Leif-Colbry)","In a similar fashion, there is a side quest in The Witcher 3 in which you find a stone quarry where the miners believe they have been victims of a curse. The foreman pays you to investigate the cause of the commotion- a cow fell out of the sky and landed on a miner. u/MrMountainFace",,"""...and he used the strawberries as a distraction and jumped through the window. And the mayor didn't even see him!""","The inkeeper knocks to check that everything is satisfactory, but really, he wants to natter on about his life story. [/u/gnurdette]"
